 : ածականներ -ագույն ածանցով
բարձր բարձրագույն ցածր ցածրագույն
բարձր բարձրագույն ծանր ծանրագույն
բարձր բարձրագույն ուժեղ ուժեղագույն
բարձր բարձրագույն պարզ պարզագույն
բարձր բարձրագույն բարդ բարդագույն
բարձր բարձրագույն փոքր փոքրագույն
բարձր բարձրագույն մեծ մեծագույն
բարձր բարձրագույն լավ լավագույն
բարձր բարձրագույն վատ վատագույն
բարձր բարձրագույն խոր խորագույն
բարձր բարձրագույն նվազ նվազագույն
բարձր բարձրագույն հին հնագույն
բարձր բարձրագույն նոր նորագույն
բարձր բարձրագույն պայծառ պայծառագույն
բարձր բարձրագույն ազնիվ ազնվագույն
բարձր բարձրագույն քաջ քաջագույն
բարձր բարձրագույն գեր գերագույն
բարձր բարձրագույն խոշոր խոշորագույն
բարձր բարձրագույն քնքուշ քնքշագույն
բարձր բարձրագույն գեղեցիկ գեղեցկագույն
ցածր ցածրագույն բարձր բարձրագույն
ցածր ցածրագույն ծանր ծանրագույն
ցածր ցածրագույն ուժեղ ուժեղագույն
ցածր ցածրագույն պարզ պարզագույն
ցածր ցածրագույն բարդ բարդագույն
ցածր ցածրագույն փոքր փոքրագույն
ցածր ցածրագույն մեծ մեծագույն
ցածր ցածրագույն լավ լավագույն
ցածր ցածրագույն վատ վատագույն
ցածր ցածրագույն խոր խորագույն
ցածր ցածրագույն նվազ նվազագույն
ցածր ցածրագույն հին հնագույն
ցածր ցածրագույն նոր նորագույն
ցածր ցածրագույն պայծառ պայծառագույն
ցածր ցածրագույն ազնիվ ազնվագույն
ցածր ցածրագույն քաջ քաջագույն
ցածր ցածրագույն գեր գերագույն
ցածր ցածրագույն խոշոր խոշորագույն
ցածր ցածրագույն քնքուշ քնքշագույն
ցածր ցածրագույն գեղեցիկ գեղեցկագույն
ծանր ծանրագույն բարձր բարձրագույն
ծանր ծանրագույն ցածր ցածրագույն
ծանր ծանրագույն ուժեղ ուժեղագույն
ծանր ծանրագույն պարզ պարզագույն
ծանր ծանրագույն բարդ բարդագույն
ծանր ծանրագույն փոքր փոքրագույն
ծանր ծանրագույն մեծ մեծագույն
ծանր ծանրագույն լավ լավագույն
ծանր ծանրագույն վատ վատագույն
ծանր ծանրագույն խոր խորագույն
ծանր ծանրագույն նվազ նվազագույն
ծանր ծանրագույն հին հնագույն
ծանր ծանրագույն նոր նորագույն
ծանր ծանրագույն պայծառ պայծառագույն
ծանր ծանրագույն ազնիվ ազնվագույն
ծանր ծանրագույն քաջ քաջագույն
ծանր ծանրագույն գեր գերագույն
ծանր ծանրագույն խոշոր խոշորագույն
ծանր ծանրագույն քնքուշ քնքշագույն
ծանր ծանրագույն գեղեցիկ գեղեցկագույն
ուժեղ ուժեղագույն բարձր բարձրագույն
ուժեղ ուժեղագույն ցածր ցածրագույն
ուժեղ ուժեղագույն ծանր ծանրագույն
ուժեղ ուժեղագույն պարզ պարզագույն
ուժեղ ուժեղագույն բարդ բարդագույն
ուժեղ ուժեղագույն փոքր փոքրագույն
ուժեղ ուժեղագույն մեծ մեծագույն
ուժեղ ուժեղագույն լավ լավագույն
ուժեղ ուժեղագույն վատ վատագույն
ուժեղ ուժեղագույն խոր խորագույն
ուժեղ ուժեղագույն նվազ նվազագույն
ուժեղ ուժեղագույն հին հնագույն
ուժեղ ուժեղագույն նոր նորագույն
ուժեղ ուժեղագույն պայծառ պայծառագույն
ուժեղ ուժեղագույն ազնիվ ազնվագույն
ուժեղ ուժեղագույն քաջ քաջագույն
ուժեղ ուժեղագույն գեր գերագույն
ուժեղ ուժեղագույն խոշոր խոշորագույն
ուժեղ ուժեղագույն քնքուշ քնքշագույն
ուժեղ ուժեղագույն գեղեցիկ գեղեցկագույն
պարզ պարզագույն բարձր բարձրագույն
պարզ պարզագույն ցածր ցածրագույն
պարզ պարզագույն ծանր ծանրագույն
պարզ պարզագույն ուժեղ ուժեղագույն
պարզ պարզագույն բարդ բարդագույն
պարզ պարզագույն փոքր փոքրագույն
պարզ պարզագույն մեծ մեծագույն
պարզ պարզագույն լավ լավագույն
պարզ պարզագույն վատ վատագույն
պարզ պարզագույն խոր խորագույն
պարզ պարզագույն նվազ նվազագույն
պարզ պարզագույն հին հնագույն
պարզ պարզագույն նոր նորագույն
պարզ պարզագույն պայծառ պայծառագույն
պարզ պարզագույն ազնիվ ազնվագույն
պարզ պարզագույն քաջ քաջագույն
պարզ պարզագույն գեր գերագույն
պարզ պարզագույն խոշոր խոշորագույն
պարզ պարզագույն քնքուշ քնքշագույն
պարզ պարզագույն գեղեցիկ գեղեցկագույն
բարդ բարդագույն բարձր բարձրագույն
բարդ բարդագույն ցածր ցածրագույն
բարդ բարդագույն ծանր ծանրագույն
